,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,1,034,363,19,242,098,18.90,18.90
1,110/04/06,1,804,941,33,951,029,18.65,18.95
2,110/04/07,21,549,386,419,030,965,18.95,19.50
3,110/04/08,2,651,749,51,346,848,19.50,19.60
4,110/04/09,11,619,521,235,304,276,20.00,21.10
5,110/04/12,6,067,543,124,339,116,20.60,20.75
6,110/04/13,11,543,907,237,455,036,20.40,20.95
7,110/04/14,5,690,817,115,004,753,20.60,20.60
8,110/04/15,2,715,345,55,937,715,20.45,20.80
9,110/04/16,7,561,366,159,951,351,20.70,21.45
10,110/04/19,11,242,697,258,049,913,21.85,23.50
11,110/04/20,7,514,802,174,676,129,24.25,24.25
