,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,183,449,3,758,061,20.50,20.55,20.30
1,110/01/05,99,363,2,029,450,20.55,20.55,20.35
2,110/01/06,207,915,4,217,813,20.25,20.40,20.20
3,110/01/07,191,164,3,887,188,20.25,20.45,20.25
4,110/01/08,86,903,1,771,943,20.35,20.45,20.35
5,110/01/11,148,026,3,021,531,20.40,20.45,20.35
6,110/01/12,184,846,3,762,634,20.35,20.40,20.25
7,110/01/13,138,370,2,819,791,20.35,20.50,20.30
8,110/01/14,44,531,906,286,20.40,20.40,20.30,20.30
9,110/01/15,138,980,2,812,826,20.30,20.30,20.15
10,110/01/18,344,095,6,903,537,20.20,20.20,19.95
11,110/01/19,98,626,1,992,662,20.10,20.30,20.10
12,110/01/20,233,211,4,673,149,20.10,20.15,19.95
