,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,1,162,268,32,079,702,27.65,27.75
1,110/04/06,2,543,797,70,949,762,27.70,28.20
2,110/04/07,10,362,054,304,761,730,29.00,30.00
3,110/04/08,3,358,483,98,838,769,29.50,29.65
4,110/04/09,2,991,952,86,891,968,29.45,29.45
5,110/04/12,1,479,297,43,118,291,29.20,29.30
6,110/04/13,2,470,101,71,287,638,29.25,29.25
7,110/04/14,3,507,241,98,324,813,28.60,28.85
8,110/04/15,1,454,809,41,636,842,28.30,28.80
9,110/04/16,1,501,660,43,439,757,29.00,29.15
10,110/04/19,1,930,828,56,063,914,29.00,29.25
11,110/04/20,1,415,703,41,230,290,29.15,29.25
