,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,2,123,048,22,589,200,10.65,10.70
1,110/03/03,4,011,658,42,955,742,10.65,10.75
2,110/03/04,3,842,887,40,826,535,10.65,10.75
3,110/03/05,1,547,434,16,417,339,10.60,10.65
4,110/03/08,3,060,455,32,617,752,10.70,10.75
5,110/03/09,5,475,137,58,925,003,10.70,10.80
6,110/03/10,2,645,356,28,526,702,10.80,10.85
7,110/03/11,3,110,088,33,579,416,10.80,10.85
8,110/03/12,1,831,190,19,761,355,10.80,10.80
9,110/03/15,3,102,558,33,534,734,10.75,10.85
10,110/03/16,4,970,258,53,783,562,10.80,10.90
11,110/03/17,2,858,816,30,855,062,10.85,10.85
12,110/03/18,2,328,285,25,077,087,10.80,10.85
13,110/03/19,11,536,156,121,981,413,10.75,10.75
14,110/03/22,5,931,873,62,935,375,10.55,10.70
