,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,349,100,13,500,950,39.00,39.00,38.40
1,110/03/03,387,380,14,947,221,38.60,38.75,38.40
2,110/03/04,572,045,22,182,209,38.70,39.00,38.60
3,110/03/05,801,118,31,375,476,38.70,39.45,38.65
4,110/03/08,433,201,16,993,768,39.25,39.45,39.00
5,110/03/09,263,824,10,285,133,39.20,39.20,38.80
6,110/03/10,368,802,14,482,036,39.35,39.45,39.15
7,110/03/11,427,023,16,861,759,39.45,39.60,39.30
8,110/03/12,302,100,11,925,850,39.60,39.70,39.35
9,110/03/15,352,050,13,983,092,39.50,39.85,39.50
10,110/03/16,361,501,14,428,012,39.95,40.10,39.80
11,110/03/17,784,845,31,521,029,40.00,40.35,39.95
12,110/03/18,552,533,22,155,520,40.05,40.25,39.90
13,110/03/19,349,055,13,961,293,40.00,40.25,39.85
14,110/03/22,542,184,21,896,657,40.30,40.65,40.15
