,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,8,450,112,261,429,139,31.25,31.45
1,110/03/03,3,375,698,103,224,618,30.60,30.80
2,110/03/04,4,329,615,131,512,751,30.55,30.65
3,110/03/05,3,984,296,120,361,088,30.15,30.35
4,110/03/08,4,103,233,124,783,453,30.55,30.60
5,110/03/09,29,361,132,832,280,697,28.30,28.70
6,110/03/10,13,353,242,383,397,326,28.65,28.90
7,110/03/11,12,509,327,360,757,964,29.00,29.10
8,110/03/12,9,218,709,264,720,358,28.85,28.95
9,110/03/15,7,031,502,203,906,786,28.95,29.10
10,110/03/16,6,157,181,179,366,069,29.10,29.20
11,110/03/17,5,404,381,157,093,452,29.15,29.20
12,110/03/18,5,791,830,168,379,700,29.15,29.20
13,110/03/19,5,743,593,166,398,598,29.00,29.10
14,110/03/22,7,103,604,205,503,051,29.10,29.10
