,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,8,549,742,95,338,784,11.15,11.20
1,110/03/03,9,361,907,104,660,397,11.10,11.20
2,110/03/04,6,938,295,77,326,810,11.15,11.20
3,110/03/05,3,643,362,40,733,537,11.15,11.20
4,110/03/08,8,850,651,99,326,527,11.20,11.30
5,110/03/09,15,673,643,177,503,877,11.20,11.45
6,110/03/10,9,876,094,113,305,584,11.45,11.55
7,110/03/11,22,323,400,253,810,313,11.50,11.50
8,110/03/12,9,249,341,104,568,606,11.30,11.40
9,110/03/15,4,721,464,53,863,561,11.40,11.45
10,110/03/16,5,682,172,65,010,510,11.40,11.50
11,110/03/17,6,788,534,77,524,439,11.50,11.50
12,110/03/18,4,818,816,54,962,862,11.40,11.45
13,110/03/19,16,106,414,182,422,667,11.40,11.45
14,110/03/22,5,654,695,64,128,712,11.30,11.40
