,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,3,407,293,186,888,803,54.50,55.20
1,110/04/06,2,494,709,137,583,469,55.60,55.60
2,110/04/07,2,768,955,153,946,158,56.20,56.20
3,110/04/08,3,936,074,217,291,399,54.80,55.60
4,110/04/09,2,853,174,157,063,626,55.30,55.40
5,110/04/12,3,270,343,180,118,448,55.00,55.40
6,110/04/13,3,741,171,207,575,240,55.40,55.80
7,110/04/14,3,582,492,197,256,618,55.80,55.80
8,110/04/15,3,132,408,171,195,125,55.00,55.00
9,110/04/16,3,167,788,174,503,737,54.60,55.60
10,110/04/19,3,648,453,204,736,358,55.90,56.40
11,110/04/20,4,033,775,229,078,874,56.50,57.50
