,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,6,026,689,277,709,902,46.00,46.30
1,110/03/03,4,612,590,211,210,823,46.15,46.25
2,110/03/04,5,043,004,229,040,074,45.90,45.90
3,110/03/05,3,177,954,143,443,522,45.25,45.30
4,110/03/08,3,165,918,142,403,765,45.45,45.50
5,110/03/09,3,151,520,141,566,530,45.00,45.20
6,110/03/10,2,066,488,93,664,102,45.35,45.50
7,110/03/11,2,368,630,107,833,765,45.60,45.70
8,110/03/12,2,298,496,104,601,648,45.65,45.70
9,110/03/15,5,133,005,238,609,508,45.95,46.75
10,110/03/16,4,235,866,199,358,198,46.90,47.40
11,110/03/17,6,400,994,303,482,668,47.30,47.70
12,110/03/18,4,183,357,200,163,122,47.60,48.00
13,110/03/19,7,164,173,341,249,073,48.00,48.00
14,110/03/22,3,328,409,157,974,590,47.65,47.65
