,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,520,854,16,218,041,31.20,31.40,30.85
1,110/04/06,343,556,10,667,443,31.20,31.35,30.80
2,110/04/07,222,526,6,860,334,30.80,31.30,30.60
3,110/04/08,392,000,12,050,076,31.00,31.15,30.40
4,110/04/09,1,650,559,54,895,698,31.85,33.80
5,110/04/12,2,683,019,96,704,724,35.35,37.15
6,110/04/13,1,237,571,43,337,639,36.50,36.90
7,110/04/14,612,613,20,744,452,35.65,35.70,32.90
8,110/04/15,618,852,21,479,009,33.70,35.95,33.70
9,110/04/16,456,168,16,061,867,35.20,35.85,34.60
10,110/04/19,1,049,626,38,530,218,36.00,37.70
11,110/04/20,515,660,18,887,957,37.50,37.60,36.00
