,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,11,116,768,822,337,650,71.50,76.40
1,110/03/03,8,607,989,604,864,780,72.30,72.60
2,110/03/04,5,795,711,399,022,961,70.00,70.70
3,110/03/05,8,576,377,577,545,656,68.10,69.10
4,110/03/08,8,540,830,573,649,337,69.30,69.60
5,110/03/09,5,876,069,385,766,036,67.30,67.70
6,110/03/10,5,619,568,374,003,019,66.70,67.40
7,110/03/11,4,945,879,336,187,477,68.00,68.70
8,110/03/12,4,080,487,274,564,152,68.60,68.60
9,110/03/15,5,386,386,366,389,553,67.90,68.80
10,110/03/16,4,664,663,317,774,712,68.20,68.50
11,110/03/17,5,892,268,406,996,467,68.90,69.80
12,110/03/18,3,587,842,248,689,025,69.00,69.60
13,110/03/19,4,527,896,315,381,491,69.00,70.80
14,110/03/22,3,378,614,234,579,268,70.30,70.30
