,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,365,584,30,313,365,83.40,83.50,82.40
1,110/04/06,497,789,41,313,295,83.40,83.40,82.80
2,110/04/07,291,689,24,275,020,83.20,83.50,82.90
3,110/04/08,429,029,35,647,149,83.20,83.40,82.80
4,110/04/09,400,731,33,274,687,83.30,83.30,82.80
5,110/04/12,676,197,55,773,775,82.70,82.90,82.20
6,110/04/13,723,233,59,231,709,82.00,82.40,81.50
7,110/04/14,565,101,46,232,149,81.60,82.00,81.50
8,110/04/15,296,485,24,255,247,81.50,82.00,81.50
9,110/04/16,344,389,28,326,097,81.70,82.20,81.70
10,110/04/19,455,402,37,494,517,82.00,82.60,82.00
11,110/04/20,305,003,25,181,517,82.40,82.80,82.20
