,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,1,029,899,57,186,345,56.00,56.00
1,110/01/05,1,041,533,57,514,816,55.40,55.50
2,110/01/06,1,731,999,95,387,587,55.70,56.20
3,110/01/07,830,375,45,393,768,54.60,54.90,54.20
4,110/01/08,749,937,41,047,559,54.90,55.10,54.50
5,110/01/11,2,903,321,164,385,060,55.30,57.80
6,110/01/12,5,742,972,334,721,861,58.00,59.90
7,110/01/13,1,423,111,81,467,104,57.90,57.90
8,110/01/14,2,283,017,132,827,796,57.30,59.10
9,110/01/15,2,905,901,170,738,710,59.00,59.40
10,110/01/18,9,283,558,567,335,106,59.10,63.10
11,110/01/19,12,916,950,820,776,409,63.20,65.30
12,110/01/20,20,447,167,1,376,912,980,65.00
