,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,259,187,6,153,658,23.75,23.90,23.65
1,110/04/06,184,068,4,363,007,23.80,23.80,23.65
2,110/04/07,253,323,6,057,007,23.75,24.15,23.65
3,110/04/08,842,248,20,746,852,24.00,25.00,24.00
4,110/04/09,603,014,14,870,870,25.35,25.35,24.25
5,110/04/12,711,727,17,596,122,24.80,25.05,24.40
6,110/04/13,1,627,415,41,325,949,25.00,26.10
7,110/04/14,914,018,22,607,918,25.20,25.60,23.80
8,110/04/15,257,505,6,352,521,24.45,24.95,24.45
9,110/04/16,1,105,952,28,332,740,24.80,26.15
10,110/04/19,1,520,516,39,586,257,26.10,26.70
11,110/04/20,530,849,13,727,590,26.00,26.25,25.60
