,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,7,284,362,101,085,770,13.95,14.00
1,110/03/03,7,112,109,98,366,917,13.85,13.90
2,110/03/04,4,337,047,59,898,247,13.85,13.90
3,110/03/05,3,813,136,52,618,751,13.75,13.90
4,110/03/08,5,077,940,70,488,990,13.95,13.95
5,110/03/09,28,574,123,413,990,018,14.10,14.80
6,110/03/10,23,296,581,350,165,815,14.70,15.20
7,110/03/11,26,810,399,408,396,745,15.50,15.65
8,110/03/12,15,292,961,224,899,649,14.95,14.95
9,110/03/15,8,254,533,124,149,724,15.00,15.15
10,110/03/16,7,446,607,113,083,505,15.15,15.25
11,110/03/17,7,618,709,114,831,290,15.20,15.25
12,110/03/18,4,534,268,68,369,674,15.10,15.15
13,110/03/19,9,285,844,138,798,113,15.10,15.10
14,110/03/22,4,688,660,70,503,780,14.95,15.10
