,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,4,783,009,206,133,130,43.15,43.40
1,110/01/05,6,152,717,264,578,928,42.95,43.20
2,110/01/06,5,573,415,239,877,920,42.95,43.20
3,110/01/07,7,361,995,319,987,332,43.30,43.80
4,110/01/08,4,414,294,191,078,930,43.30,43.45
5,110/01/11,4,057,304,175,080,910,43.50,43.50
6,110/01/12,4,323,227,185,722,448,43.05,43.15
7,110/01/13,5,084,070,217,996,185,42.85,43.00
8,110/01/14,7,091,380,302,362,798,43.00,43.00
9,110/01/15,11,756,995,493,407,434,42.40,42.50
10,110/01/18,7,313,914,303,804,707,41.80,41.90
11,110/01/19,3,123,014,131,330,166,42.00,42.20
12,110/01/20,8,679,192,358,687,006,41.85,41.90
