,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,54,679,187,6,208,416,490,114.50
1,110/03/03,90,671,041,10,385,729,569,113.00
2,110/03/04,79,491,784,9,055,229,129,115.50
3,110/03/05,87,263,439,10,007,886,347,113.50
4,110/03/08,54,725,412,6,277,482,760,116.00
5,110/03/09,44,151,477,5,019,110,304,113.00
6,110/03/10,49,011,206,5,676,662,482,116.00
7,110/03/11,76,015,788,8,894,298,610,116.50
8,110/03/12,97,811,913,11,662,163,611,117.50
9,110/03/15,70,166,127,8,428,413,588,120.00
10,110/03/16,93,898,518,11,496,180,042,121.50
11,110/03/17,145,610,279,18,331,370,516,123.50
12,110/03/18,139,458,505,18,102,452,005,128.00
13,110/03/19,168,584,321,21,042,857,494,127.00
14,110/03/22,110,246,598,14,033,692,679,124.00
