,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,287,498,5,905,147,20.65,20.70,20.50
1,110/03/03,145,071,2,987,455,20.70,20.70,20.50
2,110/03/04,213,698,4,395,893,20.60,20.65,20.50
3,110/03/05,161,709,3,334,256,20.60,20.70,20.55
4,110/03/08,937,865,19,675,235,20.70,21.20,20.70
5,110/03/09,1,222,557,26,023,359,21.15,21.45
6,110/03/10,493,541,10,511,256,21.50,21.50,21.15
7,110/03/11,634,726,13,693,869,21.60,21.75,21.50
8,110/03/12,260,177,5,588,388,21.60,21.60,21.35
9,110/03/15,870,082,18,877,222,21.45,22.00,21.40
10,110/03/16,245,073,5,339,246,21.85,22.00,21.70
11,110/03/17,286,460,6,204,437,21.75,21.90,21.60
12,110/03/18,322,955,6,987,248,21.70,21.75,21.55
13,110/03/19,218,703,4,724,236,21.60,21.70,21.55
14,110/03/22,503,065,10,945,978,21.60,22.00,21.60
