,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,277,536,8,670,868,31.40,31.45,31.15
1,110/01/05,148,149,4,622,007,31.40,31.40,31.15
2,110/01/06,297,002,9,218,465,31.30,31.30,30.70
3,110/01/07,144,978,4,492,788,31.00,31.15,30.90
4,110/01/08,205,022,6,343,184,31.00,31.05,30.80
5,110/01/11,198,048,6,106,629,30.95,31.10,30.75
6,110/01/12,186,057,5,681,722,31.00,31.00,30.40
7,110/01/13,159,177,4,856,744,30.70,30.70,30.40
8,110/01/14,138,803,4,230,293,30.60,30.60,30.40
9,110/01/15,202,316,6,113,344,30.40,30.40,30.10
10,110/01/18,226,258,6,722,677,30.10,30.10,29.30
11,110/01/19,117,593,3,525,846,29.85,30.15,29.85
12,110/01/20,188,510,5,588,788,29.95,30.30,29.40
