,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,89,647,2,229,672,25.00,25.00,24.75
1,110/01/05,71,228,1,776,814,25.30,25.30,24.80
2,110/01/06,170,403,4,186,273,24.80,24.95,24.35
3,110/01/07,62,644,1,536,757,24.90,24.90,24.40
4,110/01/08,133,580,3,293,100,24.50,24.95,24.30
5,110/01/11,631,103,15,563,575,24.90,24.95,24.65
6,110/01/12,67,749,1,660,964,24.60,24.70,24.40
7,110/01/13,634,635,15,720,749,24.55,24.70,24.50
8,110/01/14,57,223,1,418,520,24.90,24.90,24.70
9,110/01/15,101,909,2,484,698,24.70,24.70,24.00
10,110/01/18,677,692,16,138,146,24.10,24.25,23.65
11,110/01/19,95,304,2,273,604,23.75,24.00,23.75
12,110/01/20,148,616,3,492,514,23.60,23.70,23.30
