,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,238,824,7,262,508,30.75,30.75,30.25
1,110/01/05,241,899,7,310,035,30.50,30.50,30.10
2,110/01/06,459,170,14,015,435,30.30,31.00,30.20
3,110/01/07,1,253,752,37,904,641,30.55,30.70
4,110/01/08,1,725,465,54,394,870,31.00,32.00
5,110/01/11,1,198,773,37,769,287,31.60,32.00
6,110/01/12,3,763,931,119,088,617,31.75,32.75
7,110/01/13,1,146,895,35,490,043,31.00,31.60
8,110/01/14,964,816,29,679,554,30.85,31.20,30.20
9,110/01/15,324,379,9,942,977,31.00,31.30,30.35
10,110/01/18,509,521,15,267,398,30.40,30.40,29.55
11,110/01/19,429,354,12,845,940,30.25,30.25,29.70
12,110/01/20,938,792,27,790,691,29.95,30.00,29.35
