,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,18,904,987,221,353,752,11.75,11.80
1,110/03/03,32,573,050,385,875,949,11.70,11.95
2,110/03/04,22,503,718,264,608,330,11.85,11.90
3,110/03/05,18,257,948,213,883,223,11.65,11.80
4,110/03/08,20,956,915,247,002,825,11.80,11.85
5,110/03/09,28,607,582,340,465,775,11.85,11.95
6,110/03/10,26,405,124,317,214,401,11.95,12.10
7,110/03/11,32,548,147,393,413,363,12.10,12.20
8,110/03/12,20,704,452,250,222,464,12.05,12.15
9,110/03/15,31,597,862,388,968,649,12.20,12.40
10,110/03/16,23,490,436,290,263,530,12.35,12.40
11,110/03/17,22,570,990,277,641,747,12.35,12.40
12,110/03/18,19,699,298,242,420,555,12.35,12.35
13,110/03/19,94,826,364,1,146,552,997,12.20
14,110/03/22,33,218,964,407,340,732,12.15,12.35
