,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,12,829,490,763,961,406,60.90,60.90
1,110/03/03,8,126,871,482,366,057,59.70,59.80
2,110/03/04,10,265,420,604,746,705,59.00,59.50
3,110/03/05,13,161,322,765,830,651,58.50,58.70
4,110/03/08,6,908,114,404,360,061,59.00,59.00
5,110/03/09,22,121,116,1,259,942,868,57.00
6,110/03/10,7,446,761,430,687,081,57.60,58.20
7,110/03/11,6,604,663,386,939,758,58.70,59.00
8,110/03/12,20,550,146,1,250,475,291,59.80
9,110/03/15,12,194,435,734,768,022,61.30,61.60
10,110/03/16,6,200,877,374,125,757,60.00,61.00
11,110/03/17,6,127,489,369,208,299,60.30,60.50
12,110/03/18,7,870,677,483,938,635,61.00,61.90
13,110/03/19,11,870,376,723,043,379,61.20,61.20
14,110/03/22,5,142,956,314,107,933,61.10,61.50
