,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,459,869,7,153,821,15.60,15.65,15.50
1,110/01/05,290,610,4,497,270,15.55,15.55,15.40
2,110/01/06,716,153,10,972,570,15.40,15.55,15.15
3,110/01/07,196,784,3,005,918,15.25,15.35,15.25
4,110/01/08,390,350,5,947,650,15.30,15.30,15.15
5,110/01/11,360,997,5,489,297,15.20,15.25,15.15
6,110/01/12,645,767,9,752,004,15.20,15.20,15.00
7,110/01/13,410,817,6,203,175,15.05,15.20,15.00
8,110/01/14,403,599,6,075,341,15.05,15.20,15.00
9,110/01/15,1,219,643,18,160,736,15.05,15.05
10,110/01/18,445,087,6,574,306,14.70,15.00,14.60
11,110/01/19,377,712,5,666,104,14.90,15.10,14.90
12,110/01/20,783,168,11,524,357,14.95,15.00,14.55
