,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,438,373,20,701,778,47.55,47.80,46.60
1,110/04/06,489,183,22,798,800,46.80,46.95,46.40
2,110/04/07,289,149,13,498,761,46.50,46.95,46.50
3,110/04/08,247,740,11,600,582,46.85,46.95,46.65
4,110/04/09,516,099,23,966,377,46.65,47.00,46.00
5,110/04/12,476,775,22,472,979,47.00,47.40,46.90
6,110/04/13,272,710,12,875,350,47.15,47.35,47.00
7,110/04/14,358,674,16,739,582,47.05,47.30,46.10
8,110/04/15,339,527,15,968,682,46.55,47.30,46.50
9,110/04/16,419,696,19,914,317,47.10,47.75,47.00
10,110/04/19,837,669,40,614,487,47.75,48.90,47.75
11,110/04/20,416,250,20,186,516,48.90,49.15,48.05
