,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,356,662,18,936,112,52.90,53.30,52.80
1,110/04/06,434,887,23,208,405,53.50,53.60,53.10
2,110/04/07,371,694,19,848,723,53.50,53.70,53.20
3,110/04/08,363,331,19,471,243,53.40,54.00,53.30
4,110/04/09,381,489,20,596,246,54.40,54.50,53.60
5,110/04/12,445,809,23,865,952,54.00,54.00,53.30
6,110/04/13,303,199,16,174,142,53.60,53.60,53.20
7,110/04/14,427,900,22,530,825,53.00,53.30,52.00
8,110/04/15,284,777,14,998,428,52.80,52.90,52.30
9,110/04/16,328,526,17,433,910,52.70,53.30,52.70
10,110/04/19,400,211,21,481,616,53.30,53.90,53.30
11,110/04/20,390,225,21,101,068,53.90,54.70,53.60
