,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,2,135,250,110,359,480,51.70,52.10
1,110/04/06,1,691,300,88,291,257,52.20,52.50
2,110/04/07,1,744,056,91,562,146,52.50,52.80
3,110/04/08,2,605,728,138,912,306,52.90,53.60
4,110/04/09,2,252,702,118,565,602,53.30,53.40
5,110/04/12,1,862,569,98,605,888,53.30,53.50
6,110/04/13,2,548,080,133,381,140,53.10,53.10
7,110/04/14,4,251,547,215,615,693,51.80,51.80
8,110/04/15,1,338,875,68,428,020,50.90,51.50
9,110/04/16,1,238,038,63,793,447,51.50,51.70
10,110/04/19,2,663,084,140,182,771,52.20,53.20
11,110/04/20,1,496,083,78,798,120,52.70,53.00
