,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,1,482,281,60,441,817,40.50,40.95
1,110/01/05,781,846,31,969,719,40.85,41.00,40.70
2,110/01/06,1,449,528,59,336,770,41.10,41.15
3,110/01/07,1,224,027,50,321,209,40.90,41.20
4,110/01/08,2,639,056,109,201,200,41.20,41.60
5,110/01/11,1,564,817,65,055,205,41.50,41.75
6,110/01/12,1,396,558,58,211,032,41.80,41.95
7,110/01/13,3,104,684,130,165,590,41.60,42.20
8,110/01/14,3,981,950,170,780,368,42.15,43.25
9,110/01/15,1,922,114,81,615,754,42.90,42.95
10,110/01/18,989,537,41,365,641,42.35,42.45,41.10
11,110/01/19,644,265,26,930,209,41.70,42.00,41.65
12,110/01/20,1,975,588,80,742,460,41.40,41.50
