,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,772,814,30,990,866,40.10,40.20,39.95
1,110/04/06,1,132,316,45,853,479,40.25,40.75
2,110/04/07,1,195,885,49,097,444,40.80,41.35
3,110/04/08,955,029,39,363,086,41.65,41.70,41.00
4,110/04/09,850,066,34,748,208,41.10,41.15,40.75
5,110/04/12,660,528,27,061,719,41.25,41.25,40.80
6,110/04/13,897,048,36,546,506,40.95,40.95,40.60
7,110/04/14,1,640,548,65,858,189,40.70,40.75
8,110/04/15,463,130,18,721,684,40.15,40.60,40.10
9,110/04/16,432,767,17,627,296,40.65,40.90,40.55
10,110/04/19,703,777,28,774,870,40.90,41.05,40.80
11,110/04/20,559,488,22,907,955,40.90,41.00,40.85
