,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,1,136,108,53,320,343,47.15,47.45
1,110/04/06,826,837,38,968,895,47.10,47.40,46.70
2,110/04/07,972,687,45,506,149,46.90,47.00,46.65
3,110/04/08,1,099,003,51,547,737,46.90,47.10
4,110/04/09,2,251,756,104,907,286,46.95,46.95
5,110/04/12,1,973,225,90,268,093,46.15,46.20
6,110/04/13,1,345,079,61,508,701,45.70,45.95
7,110/04/14,1,404,545,63,419,730,45.55,45.75
8,110/04/15,784,009,35,500,866,45.05,45.50,45.00
9,110/04/16,1,246,659,56,784,975,45.25,46.00
10,110/04/19,2,902,860,136,885,198,46.60,47.40
11,110/04/20,7,730,256,381,237,927,47.65,51.70
