,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,4,548,720,225,759,793,49.95,50.60
1,110/03/03,2,098,854,102,440,205,48.75,49.30
2,110/03/04,1,750,619,85,770,366,48.85,49.50
3,110/03/05,1,450,012,70,430,599,48.50,48.80
4,110/03/08,2,605,031,128,360,923,49.10,49.80
5,110/03/09,2,691,999,132,710,564,49.00,49.90
6,110/03/10,2,366,716,117,931,938,50.00,50.30
7,110/03/11,1,858,069,92,415,095,49.70,50.00
8,110/03/12,6,275,369,317,378,014,50.10,51.20
9,110/03/15,3,438,858,175,962,442,51.20,51.50
10,110/03/16,2,678,347,136,647,311,51.10,51.40
11,110/03/17,6,542,425,339,365,137,52.00,52.50
12,110/03/18,2,741,345,142,195,492,52.00,52.20
13,110/03/19,4,115,953,215,605,976,51.70,52.90
14,110/03/22,6,018,460,322,535,336,53.40,54.30
