,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,2,425,537,83,436,697,34.40,34.50
1,110/01/05,2,249,644,77,234,451,34.35,34.40
2,110/01/06,5,505,381,187,474,789,34.40,34.50
3,110/01/07,2,538,340,86,504,313,33.95,34.30
4,110/01/08,6,108,771,211,802,952,34.70,34.90
5,110/01/11,6,421,345,224,684,064,34.85,35.20
6,110/01/12,7,496,343,264,350,039,35.40,35.70
7,110/01/13,3,699,431,130,345,987,35.25,35.50
8,110/01/14,2,995,181,105,083,593,35.10,35.30
9,110/01/15,3,446,652,120,798,306,35.45,35.50
10,110/01/18,3,833,566,134,021,270,35.00,35.20
11,110/01/19,12,012,165,429,307,718,34.90,36.00
12,110/01/20,11,289,939,403,389,102,36.25,36.70
