,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,1,246,468,86,618,813,69.70,69.80
1,110/01/05,4,195,188,296,517,192,69.70,71.50
2,110/01/06,2,283,526,161,097,570,71.10,71.50
3,110/01/07,1,564,920,109,954,010,70.30,70.50
4,110/01/08,2,351,135,166,296,570,70.40,71.00
5,110/01/11,1,379,733,97,722,506,71.00,71.20
6,110/01/12,2,821,255,197,109,259,71.00,71.00
7,110/01/13,2,612,016,182,320,822,69.40,70.40
8,110/01/14,1,383,913,96,817,317,70.30,70.30
9,110/01/15,2,248,385,156,101,373,70.10,70.10
10,110/01/18,1,399,913,96,229,324,69.10,69.10
11,110/01/19,1,278,727,88,486,901,69.00,69.70
12,110/01/20,2,002,296,137,444,526,69.50,69.50
