,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,3,727,934,212,513,442,55.60,58.50
1,110/03/03,1,215,746,68,038,633,56.30,56.50
2,110/03/04,1,681,194,96,192,078,56.30,58.00
3,110/03/05,825,971,47,130,959,57.00,57.80,56.50
4,110/03/08,938,194,52,542,136,57.10,57.60,55.10
5,110/03/09,495,179,27,101,446,54.90,55.50,54.20
6,110/03/10,384,614,21,245,579,55.20,55.60,54.90
7,110/03/11,631,009,35,425,949,55.80,56.70,55.20
8,110/03/12,419,695,23,569,879,56.50,57.00,55.40
9,110/03/15,307,892,17,098,468,56.00,56.00,55.40
10,110/03/16,397,732,22,170,341,55.40,56.00,55.30
11,110/03/17,270,270,15,157,750,56.00,56.20,55.70
12,110/03/18,466,891,26,375,861,56.40,56.80,55.90
13,110/03/19,258,493,14,560,417,55.90,56.70,55.90
14,110/03/22,387,056,21,694,857,56.60,56.60,55.70
