,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,13,710,043,648,800,740,47.80,47.80
1,110/04/06,9,697,586,455,898,855,47.15,47.25
2,110/04/07,8,479,385,398,300,580,47.05,47.10
3,110/04/08,8,140,236,381,268,829,46.80,46.95
4,110/04/09,9,025,700,422,149,410,46.90,47.00
5,110/04/12,11,384,965,532,828,941,46.70,47.10
6,110/04/13,17,959,504,852,245,746,47.00,47.80
7,110/04/14,11,924,201,565,071,302,47.40,47.75
8,110/04/15,20,865,248,1,002,853,731,47.40
9,110/04/16,12,329,015,594,516,302,48.30,48.95
10,110/04/19,16,653,431,827,255,413,49.40,50.00
11,110/04/20,25,377,783,1,297,775,435,51.10
