,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,153,774,23,321,810,152.50,152.50,150.50
1,110/03/03,262,596,39,980,411,151.00,153.50,151.00
2,110/03/04,500,325,76,986,612,153.50,155.00,153.00
3,110/03/05,258,654,39,974,398,154.00,155.00,153.00
4,110/03/08,813,550,128,891,241,156.50,160.00,156.50
5,110/03/09,548,199,87,587,318,160.00,161.00,158.00
6,110/03/10,353,026,56,647,138,161.00,161.50,159.00
7,110/03/11,325,237,52,662,542,161.50,163.00,161.00
8,110/03/12,280,322,45,249,731,161.00,162.50,160.00
9,110/03/15,244,773,40,230,891,163.00,165.00,162.50
10,110/03/16,295,500,48,115,801,165.00,165.00,161.50
11,110/03/17,230,041,37,515,303,162.50,164.00,161.50
12,110/03/18,188,659,30,815,785,164.50,164.50,162.50
13,110/03/19,182,062,29,604,566,163.50,163.50,162.00
14,110/03/22,142,899,23,211,933,162.00,163.00,161.50
