,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,734,369,68,254,757,93.20,93.50,92.70
1,110/04/06,543,932,50,585,771,93.00,93.20,92.80
2,110/04/07,372,809,34,665,362,92.80,93.20,92.80
3,110/04/08,650,503,60,885,103,93.30,93.90,93.30
4,110/04/09,409,607,38,281,137,93.60,93.80,93.10
5,110/04/12,484,355,45,278,057,93.50,93.70,93.30
6,110/04/13,640,076,59,797,448,94.00,94.00,93.00
7,110/04/14,703,466,65,222,686,93.00,93.50,92.00
8,110/04/15,363,989,33,778,836,92.60,93.40,92.50
9,110/04/16,416,091,38,620,381,92.60,93.10,92.60
10,110/04/19,613,724,57,377,620,93.00,93.70,93.00
11,110/04/20,393,928,36,898,201,93.50,93.80,93.40
