,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,231,000,8,061,550,34.90,35.20,34.15
1,110/03/03,219,000,7,642,300,34.90,35.10,34.50
2,110/03/04,112,262,3,901,514,34.85,35.05,34.50
3,110/03/05,191,140,6,636,572,34.60,35.05,34.30
4,110/03/08,151,742,5,323,707,35.40,35.45,34.85
5,110/03/09,76,202,2,662,603,35.30,35.30,34.75
6,110/03/10,131,351,4,578,622,35.00,35.05,34.70
7,110/03/11,97,742,3,408,429,35.00,35.00,34.80
8,110/03/12,72,000,2,507,350,34.85,34.90,34.80
9,110/03/15,157,323,5,505,045,34.85,35.10,34.85
10,110/03/16,95,406,3,337,743,35.00,35.10,34.80
11,110/03/17,64,916,2,279,480,35.10,35.20,35.05
12,110/03/18,138,174,4,848,837,35.15,35.20,35.00
13,110/03/19,125,001,4,372,386,35.05,35.05,34.90
14,110/03/22,95,750,3,352,304,35.05,35.10,34.95
