,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,141,921,6,678,884,46.95,47.30,46.60
1,110/04/06,138,000,6,515,250,47.35,47.35,46.75
2,110/04/07,106,002,5,015,194,47.35,47.75,46.90
3,110/04/08,48,077,2,275,230,47.75,47.75,47.00
4,110/04/09,249,000,12,131,150,48.10,49.30,47.80
5,110/04/12,288,109,14,241,695,49.30,50.20,48.25
6,110/04/13,198,000,9,899,350,49.90,50.30,49.50
7,110/04/14,104,000,5,167,550,50.80,50.80,49.00
8,110/04/15,21,000,1,043,850,49.80,49.80,49.60
9,110/04/16,35,000,1,732,250,49.40,49.90,49.35
10,110/04/19,52,000,2,585,350,50.00,50.00,49.10
11,110/04/20,45,074,2,238,918,49.90,49.95,49.40
