,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,57,975,2,488,881,43.05,43.20,42.50
1,110/01/05,26,200,1,123,409,43.00,43.00,42.60
2,110/01/06,49,515,2,119,808,43.00,43.10,42.65
3,110/01/07,30,088,1,282,922,42.65,43.05,42.55
4,110/01/08,28,406,1,209,787,42.90,42.90,42.50
5,110/01/11,34,806,1,480,584,42.75,42.75,42.30
6,110/01/12,345,494,14,297,358,42.00,42.05,41.00
7,110/01/13,58,030,2,422,687,41.70,41.95,41.55
8,110/01/14,33,580,1,399,088,42.00,42.00,41.55
9,110/01/15,68,916,2,860,363,41.60,41.75,41.40
10,110/01/18,23,125,961,524,41.60,41.80,41.40,41.55
11,110/01/19,28,592,1,194,921,41.65,42.00,41.55
12,110/01/20,34,524,1,426,454,41.80,41.80,41.20
