,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,113,979,3,665,681,32.15,32.20,32.05
1,110/03/03,191,769,6,165,897,32.05,32.20,32.05
2,110/03/04,83,537,2,681,530,32.15,32.25,32.00
3,110/03/05,198,414,6,393,308,32.30,32.30,32.15
4,110/03/08,127,739,4,124,903,32.35,32.35,32.25
5,110/03/09,135,079,4,371,953,32.30,32.50,32.30
6,110/03/10,174,240,5,665,623,32.50,32.55,32.45
7,110/03/11,181,191,5,926,738,32.50,32.85,32.50
8,110/03/12,249,643,8,167,872,32.75,32.75,32.65
9,110/03/15,194,920,6,393,828,32.75,32.90,32.70
10,110/03/16,218,330,7,210,490,32.85,33.10,32.85
11,110/03/17,155,556,5,130,978,33.00,33.10,32.90
12,110/03/18,174,075,5,750,722,33.10,33.15,32.95
13,110/03/19,251,577,8,317,654,33.10,33.15,33.00
14,110/03/22,312,676,10,427,940,33.10,33.70,33.05
