,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,5,432,201,277,358,408,51.10,51.70
1,110/03/03,3,981,220,201,683,584,50.70,51.00
2,110/03/04,4,143,660,209,926,785,50.60,51.40
3,110/03/05,5,137,642,257,943,876,49.65,50.80
4,110/03/08,3,459,211,174,612,728,50.50,50.90
5,110/03/09,5,653,403,282,413,956,50.00,50.60
6,110/03/10,3,765,047,191,291,301,50.80,51.30
7,110/03/11,8,800,448,455,638,130,51.40,52.10
8,110/03/12,6,178,710,322,269,292,52.30,52.70
9,110/03/15,4,060,921,211,917,521,52.40,52.50
10,110/03/16,8,513,351,449,683,375,53.00,53.40
11,110/03/17,8,292,800,432,614,277,52.60,52.90
12,110/03/18,6,152,649,322,897,935,52.60,52.70
13,110/03/19,6,908,703,364,219,972,52.30,53.20
14,110/03/22,5,375,798,283,863,683,53.60,53.60
