,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,7,473,169,96,754,989,12.90,13.10
1,110/01/05,3,093,915,40,099,220,13.00,13.05
2,110/01/06,10,701,485,137,478,363,12.95,13.00
3,110/01/07,5,008,286,64,295,468,12.80,12.90
4,110/01/08,14,176,847,185,143,689,13.00,13.15
5,110/01/11,11,039,496,147,679,100,13.20,13.50
6,110/01/12,7,314,472,96,462,354,13.35,13.40
7,110/01/13,9,355,137,124,395,558,13.30,13.40
8,110/01/14,3,616,202,48,169,668,13.30,13.40
9,110/01/15,6,177,844,81,792,676,13.35,13.40
10,110/01/18,9,310,585,121,339,331,13.15,13.15
11,110/01/19,3,084,926,40,292,542,13.05,13.15
12,110/01/20,12,159,589,156,564,616,13.05,13.05
