,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,395,461,21,329,335,53.60,54.20,53.20
1,110/04/06,232,978,12,679,662,54.50,54.60,54.30
2,110/04/07,397,951,21,946,612,54.30,55.90,54.10
3,110/04/08,417,363,23,567,315,55.50,57.10,55.50
4,110/04/09,766,244,44,729,862,58.40,59.20,57.10
5,110/04/12,419,184,24,533,660,59.50,59.70,57.60
6,110/04/13,603,138,34,977,968,58.20,58.40,57.20
7,110/04/14,353,315,20,321,535,57.80,58.30,56.90
8,110/04/15,150,811,8,740,605,57.60,58.30,57.50
9,110/04/16,123,988,7,193,238,58.20,58.50,57.80
10,110/04/19,175,769,10,128,453,58.00,58.00,57.30
11,110/04/20,160,649,9,219,598,57.70,57.70,57.20
