,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,417,443,15,999,738,38.50,38.50,38.15
1,110/03/03,129,353,4,948,511,38.50,38.50,38.10
2,110/03/04,165,126,6,338,190,38.35,38.60,38.25
3,110/03/05,125,150,4,836,831,38.60,38.85,38.25
4,110/03/08,373,265,14,571,526,38.85,39.35,38.85
5,110/03/09,529,521,20,978,818,39.00,39.90,38.95
6,110/03/10,192,304,7,590,457,39.90,39.90,39.30
7,110/03/11,219,496,8,738,566,39.50,39.95,39.50
8,110/03/12,323,469,12,885,160,39.75,40.10,39.60
9,110/03/15,204,089,8,139,290,39.80,39.95,39.80
10,110/03/16,233,875,9,257,958,39.90,39.90,39.35
11,110/03/17,177,108,6,994,418,39.55,39.60,39.40
12,110/03/18,112,274,4,436,794,39.40,39.70,39.40
13,110/03/19,193,317,7,568,034,39.55,39.55,38.95
14,110/03/22,212,503,8,308,440,39.20,39.20,38.95
