,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,3,398,883,145,363,304,43.00,43.00
1,110/04/06,4,208,603,181,008,599,43.00,43.15
2,110/04/07,9,284,550,409,505,755,43.50,44.50
3,110/04/08,6,916,449,310,687,613,44.90,45.15
4,110/04/09,13,685,763,628,755,285,45.80,46.45
5,110/04/12,11,676,009,547,048,176,47.00,47.90
6,110/04/13,10,093,849,465,903,460,46.80,46.85
7,110/04/14,11,041,025,504,792,258,45.50,46.70
8,110/04/15,8,256,802,383,791,075,45.80,46.90
9,110/04/16,11,900,767,564,890,660,47.05,47.85
10,110/04/19,10,432,103,508,052,327,48.45,49.05
11,110/04/20,10,803,034,526,663,824,49.25,49.30
