,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,137,126,6,323,185,46.00,46.30,45.95
1,110/01/05,167,403,7,738,971,46.25,46.50,46.00
2,110/01/06,182,640,8,483,783,46.60,46.75,46.10
3,110/01/07,160,721,7,448,384,46.15,46.55,46.15
4,110/01/08,125,194,5,802,554,46.40,46.65,46.10
5,110/01/11,162,512,7,539,215,46.10,46.55,46.10
6,110/01/12,166,879,7,702,363,46.55,46.55,46.00
7,110/01/13,90,991,4,198,929,46.00,46.30,46.00
8,110/01/14,78,560,3,631,859,46.45,46.45,46.15
9,110/01/15,196,318,9,024,028,46.30,46.30,45.60
10,110/01/18,104,548,4,728,185,45.35,45.65,45.00
11,110/01/19,66,412,3,024,602,45.65,45.70,45.40
12,110/01/20,306,921,13,834,613,45.60,45.60,44.80
