,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,790,137,18,508,538,23.20,23.60,23.05
1,110/01/05,496,192,11,656,465,23.55,23.80,23.30
2,110/01/06,1,697,276,38,517,428,23.30,23.35
3,110/01/07,813,848,18,344,294,22.80,22.80,22.40
4,110/01/08,547,633,12,316,645,22.80,22.80,22.30
5,110/01/11,920,551,21,096,876,22.95,23.10,22.75
6,110/01/12,527,178,11,941,998,23.15,23.15,22.45
7,110/01/13,603,285,13,697,043,22.45,22.90,22.45
8,110/01/14,299,609,6,792,286,22.85,22.85,22.55
9,110/01/15,1,164,180,25,915,240,22.60,22.60
10,110/01/18,586,511,12,883,473,21.90,22.25,21.50
11,110/01/19,260,516,5,791,125,22.10,22.45,22.10
12,110/01/20,1,641,890,35,310,301,21.95,21.95
