,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,119,836,16,894,791,141.00,141.50,140.50
1,110/01/05,223,512,31,779,865,141.50,143.00,141.00
2,110/01/06,157,662,22,302,524,142.50,142.50,141.00
3,110/01/07,69,777,9,863,991,141.50,142.00,141.00
4,110/01/08,111,789,15,796,334,142.00,142.50,140.00
5,110/01/11,128,594,18,130,538,141.00,141.50,140.50
6,110/01/12,196,534,27,577,914,140.50,141.00,140.00
7,110/01/13,79,750,11,187,631,140.00,140.50,140.00
8,110/01/14,94,724,13,279,638,140.50,140.50,140.00
9,110/01/15,76,484,10,716,690,141.00,141.00,140.00
10,110/01/18,108,833,15,226,076,139.00,140.50,139.00
11,110/01/19,34,818,4,871,450,140.00,140.00,139.50
12,110/01/20,171,065,23,786,649,140.00,140.00,138.50
