,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,14,518,696,326,427,918,22.60,22.65
1,110/04/06,13,424,063,302,721,855,22.55,22.65
2,110/04/07,11,888,286,268,695,214,22.65,22.65
3,110/04/08,10,458,885,236,747,888,22.65,22.70
4,110/04/09,27,028,017,621,290,883,23.05,23.05
5,110/04/12,26,207,951,609,429,956,23.05,23.40
6,110/04/13,25,481,553,595,196,033,23.45,23.55
7,110/04/14,24,226,056,561,844,132,23.20,23.30
8,110/04/15,38,430,395,911,204,851,23.35,24.00
9,110/04/16,52,435,226,1,279,486,363,24.00
10,110/04/19,59,857,338,1,534,893,151,24.90
11,110/04/20,45,655,445,1,177,277,754,26.05
