,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,925,126,35,136,692,38.20,38.25,37.80
1,110/04/06,598,431,22,698,819,38.00,38.20,37.85
2,110/04/07,515,458,19,564,371,37.90,38.10,37.80
3,110/04/08,929,515,35,671,838,38.00,38.80,38.00
4,110/04/09,665,706,25,613,124,38.85,38.85,38.25
5,110/04/12,659,008,25,301,422,38.60,38.60,38.20
6,110/04/13,780,463,29,806,289,38.35,38.35,38.00
7,110/04/14,942,814,35,449,349,38.00,38.15,37.00
8,110/04/15,419,173,15,839,471,37.50,38.00,37.50
9,110/04/16,437,777,16,644,685,37.85,38.20,37.85
10,110/04/19,942,884,36,282,038,38.45,38.70,38.20
11,110/04/20,973,971,37,838,279,38.65,39.15,38.65
