,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,8,318,959,154,236,041,18.25,19.00
1,110/03/03,3,564,119,62,771,879,18.00,18.10
2,110/03/04,1,553,656,27,027,481,17.70,17.70
3,110/03/05,1,055,170,18,172,286,17.15,17.40
4,110/03/08,3,667,058,65,800,130,17.35,18.20
5,110/03/09,1,253,050,22,486,607,18.15,18.20
6,110/03/10,1,450,027,25,474,526,17.80,17.80
7,110/03/11,1,540,518,27,046,662,17.85,17.85
8,110/03/12,1,097,182,19,564,777,17.70,18.00
9,110/03/15,4,808,599,89,264,402,17.80,18.90
10,110/03/16,3,591,475,67,768,649,18.70,19.10
11,110/03/17,2,585,850,48,367,864,19.00,19.00
12,110/03/18,2,681,863,48,940,273,18.70,18.70
13,110/03/19,2,293,810,40,764,064,18.05,18.05
14,110/03/22,950,295,16,956,234,17.85,17.95,17.65
