,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,11,373,679,152,227,286,13.40,13.45
1,110/04/06,13,734,706,183,438,392,13.40,13.45
2,110/04/07,12,104,390,161,530,155,13.30,13.40
3,110/04/08,11,913,537,158,792,253,13.35,13.40
4,110/04/09,17,185,925,228,472,414,13.30,13.35
5,110/04/12,19,849,164,265,259,772,13.35,13.40
6,110/04/13,17,341,428,233,079,822,13.40,13.50
7,110/04/14,18,573,704,249,646,199,13.40,13.50
8,110/04/15,20,471,755,276,799,164,13.50,13.55
9,110/04/16,24,151,679,328,621,593,13.55,13.70
10,110/04/19,52,674,736,737,168,714,13.75,14.15
11,110/04/20,21,093,105,295,321,162,14.10,14.10
