,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,6,861,102,435,097,831,63.50,64.10
1,110/04/06,3,995,676,251,985,549,63.50,63.80
2,110/04/07,6,605,306,424,329,406,63.70,64.50
3,110/04/08,6,491,770,421,962,285,64.80,65.30
4,110/04/09,4,234,994,275,031,675,65.20,65.40
5,110/04/12,3,923,454,251,924,084,64.50,65.00
6,110/04/13,4,842,603,306,050,638,63.70,64.00
7,110/04/14,8,866,301,549,450,025,63.00,63.50
8,110/04/15,5,294,868,330,191,002,62.00,62.80
9,110/04/16,4,625,001,288,976,180,62.40,63.00
10,110/04/19,4,296,456,271,355,156,62.60,63.60
11,110/04/20,5,831,752,374,641,321,63.80,64.60
