,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,7,114,662,298,508,317,42.05,42.25
1,110/03/03,7,738,637,324,361,369,41.80,42.15
2,110/03/04,8,557,703,360,995,973,42.10,42.50
3,110/03/05,4,014,525,168,841,164,42.00,42.35
4,110/03/08,7,699,184,327,767,993,42.30,42.80
5,110/03/09,10,603,085,458,185,479,43.00,43.50
6,110/03/10,9,284,428,407,447,199,43.50,44.50
7,110/03/11,12,282,064,540,684,769,43.75,44.60
8,110/03/12,7,889,146,342,492,656,43.90,44.10
9,110/03/15,4,463,684,193,761,316,43.30,43.75
10,110/03/16,7,813,021,345,614,245,43.75,44.40
11,110/03/17,11,416,357,515,290,974,44.50,45.50
12,110/03/18,8,574,741,387,759,709,45.55,45.85
13,110/03/19,8,380,059,372,343,473,44.75,44.75
14,110/03/22,5,743,364,255,747,699,44.60,44.90
