,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,1,862,300,78,471,674,42.40,42.65
1,110/03/03,1,046,611,43,129,232,41.50,41.60
2,110/03/04,686,402,28,150,110,41.20,41.60,40.75
3,110/03/05,537,753,21,822,859,40.30,40.85,40.25
4,110/03/08,519,569,21,297,382,40.80,41.70,40.55
5,110/03/09,734,179,29,572,006,40.45,40.70,40.00
6,110/03/10,628,550,25,625,411,40.90,41.00,40.50
7,110/03/11,2,416,784,100,096,683,41.60,41.80
8,110/03/12,985,277,40,702,570,41.25,41.60,41.15
9,110/03/15,900,261,37,460,316,41.50,41.80,41.45
10,110/03/16,2,944,756,124,442,612,41.95,42.60
11,110/03/17,5,753,518,245,985,529,42.60,43.10
12,110/03/18,1,480,271,62,575,127,42.65,42.75
13,110/03/19,1,220,458,51,396,820,42.20,42.55
14,110/03/22,2,849,712,122,306,329,42.50,43.30
