,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,15,543,263,857,468,527,54.00,55.90
1,110/01/05,16,232,779,911,419,506,55.60,56.70
2,110/01/06,19,182,539,1,079,723,550,56.50
3,110/01/07,7,434,879,412,447,880,56.00,56.30
4,110/01/08,11,784,165,649,830,389,55.80,56.10
5,110/01/11,16,580,780,1,021,375,978,61.60
6,110/01/12,48,822,309,3,305,270,164,67.70
7,110/01/13,145,332,945,10,198,643,476,70.20
8,110/01/14,124,043,426,9,409,105,699,72.00
9,110/01/15,95,218,017,7,294,830,405,78.00
10,110/01/18,63,850,610,4,837,964,452,76.00
11,110/01/19,21,056,347,1,606,451,652,76.80
12,110/01/20,21,960,536,1,615,607,913,75.60
