,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,667,430,22,717,850,34.45,34.50,33.85
1,110/04/06,343,906,11,659,017,34.15,34.15,33.65
2,110/04/07,1,817,574,63,377,765,34.00,35.70
3,110/04/08,554,542,19,301,062,35.00,35.35,34.55
4,110/04/09,632,130,21,873,739,35.25,35.25,34.35
5,110/04/12,1,148,282,39,474,008,34.70,34.95
6,110/04/13,598,355,20,494,736,34.30,34.70,33.80
7,110/04/14,3,062,085,105,336,507,33.95,35.45
8,110/04/15,2,458,438,86,583,635,35.20,35.70
9,110/04/16,1,049,524,36,785,175,35.80,35.80
10,110/04/19,967,351,33,120,187,34.95,34.95,33.90
11,110/04/20,357,527,12,277,349,34.65,34.65,34.20
