,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,180,756,6,258,607,34.70,34.75,34.45
1,110/04/06,300,514,10,485,379,34.80,34.95,34.80
2,110/04/07,202,955,7,066,909,35.00,35.00,34.70
3,110/04/08,188,156,6,557,585,34.80,34.95,34.75
4,110/04/09,627,408,21,806,366,34.95,35.00,34.70
5,110/04/12,505,104,17,800,689,34.85,35.55,34.85
6,110/04/13,782,758,28,399,182,35.60,36.50,35.60
7,110/04/14,640,918,23,051,030,36.10,36.20,35.40
8,110/04/15,241,682,8,768,361,36.00,36.45,35.95
9,110/04/16,919,853,33,609,449,36.35,37.10,36.05
10,110/04/19,738,095,27,843,200,37.10,38.00,37.10
11,110/04/20,729,812,27,877,552,38.00,38.80,37.80
