,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,2,039,929,91,895,835,44.85,45.75
1,110/03/03,1,558,649,69,411,154,44.70,44.95
2,110/03/04,1,477,443,65,596,742,44.80,44.85
3,110/03/05,932,421,41,253,982,44.35,44.40,44.10
4,110/03/08,1,367,052,61,187,533,44.55,45.00
5,110/03/09,1,327,942,59,585,602,44.90,45.00
6,110/03/10,1,564,156,70,425,452,45.00,45.20
7,110/03/11,2,575,827,117,069,034,45.20,45.75
8,110/03/12,1,254,183,57,038,093,45.70,45.75
9,110/03/15,1,840,397,84,614,202,45.70,46.25
10,110/03/16,1,376,950,64,238,902,46.50,46.85
11,110/03/17,1,383,726,64,486,532,46.80,46.80
12,110/03/18,1,241,417,58,032,987,46.70,46.85
13,110/03/19,1,867,613,86,353,526,46.70,46.70
14,110/03/22,1,020,676,47,344,632,46.40,46.55
