,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,1,302,623,56,447,992,43.40,43.60
1,110/01/05,2,732,981,120,321,282,43.50,44.60
2,110/01/06,4,557,083,201,359,056,44.75,45.20
3,110/01/07,2,159,816,95,180,811,43.90,44.50
4,110/01/08,1,873,722,82,210,539,44.15,44.50
5,110/01/11,2,707,681,120,032,094,43.75,44.90
6,110/01/12,5,395,000,241,843,235,45.20,45.65
7,110/01/13,2,196,660,97,931,251,44.50,44.85
8,110/01/14,3,722,339,167,712,429,44.55,45.45
9,110/01/15,2,801,743,124,597,559,45.35,45.50
10,110/01/18,2,581,274,111,340,599,44.10,44.10
11,110/01/19,1,582,757,68,191,773,43.30,43.45
12,110/01/20,4,390,583,182,721,644,42.90,43.00
