,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,27,263,073,557,110,187,20.45,20.60
1,110/01/05,21,051,766,431,131,926,20.45,20.60
2,110/01/06,51,827,227,1,075,666,270,20.50
3,110/01/07,44,988,513,946,056,269,20.80,21.25
4,110/01/08,47,230,107,1,002,155,544,21.25
5,110/01/11,52,662,109,1,144,785,494,21.30
6,110/01/12,43,926,627,946,170,593,22.10,22.10
7,110/01/13,35,587,885,760,820,692,21.35,21.50
8,110/01/14,32,068,801,678,319,293,21.40,21.40
9,110/01/15,34,712,755,729,498,896,21.25,21.35
10,110/01/18,34,908,025,725,594,868,21.00,21.00
11,110/01/19,23,127,153,491,126,968,21.00,21.40
12,110/01/20,38,741,942,806,760,472,21.30,21.30
