,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,112,374,4,832,484,43.05,43.15,42.80
1,110/03/03,70,010,3,015,047,43.40,43.40,42.90
2,110/03/04,55,641,2,383,601,42.95,43.00,42.70
3,110/03/05,42,060,1,809,262,42.80,43.10,42.80
4,110/03/08,162,329,7,080,429,43.05,44.15,43.05
5,110/03/09,70,795,3,076,806,43.85,43.85,43.25
6,110/03/10,57,324,2,511,146,44.00,44.00,43.70
7,110/03/11,102,357,4,504,570,43.60,44.30,43.60
8,110/03/12,357,656,16,107,358,44.65,45.45,44.65
9,110/03/15,156,016,7,116,070,45.40,45.95,45.30
10,110/03/16,88,683,4,029,737,45.85,45.85,45.05
11,110/03/17,80,676,3,638,774,45.50,45.50,44.70
12,110/03/18,135,183,6,075,651,45.15,45.40,44.80
13,110/03/19,74,130,3,314,602,44.80,44.90,44.50
14,110/03/22,93,224,4,180,762,44.85,44.90,44.75
