,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,81,100,4,167,783,51.60,51.70,51.10
1,110/01/05,96,458,4,930,039,51.40,51.40,51.00
2,110/01/06,131,391,6,674,846,51.00,51.10,50.60
3,110/01/07,55,088,2,800,576,50.70,51.00,50.70
4,110/01/08,46,726,2,376,386,50.70,51.00,50.70
5,110/01/11,58,699,2,993,113,50.80,51.20,50.70
6,110/01/12,91,634,4,646,297,51.10,51.10,50.50
7,110/01/13,96,451,4,887,140,50.50,51.00,50.50
8,110/01/14,32,985,1,684,035,51.50,51.50,50.80
9,110/01/15,44,403,2,259,052,50.90,51.40,50.60
10,110/01/18,67,338,3,398,681,50.60,50.60,50.20
11,110/01/19,121,111,6,093,317,50.50,50.70,50.00
12,110/01/20,195,040,9,756,835,50.30,50.30,49.80
